carrera,institucion,arancel_anual,arancel_total_formal,arancel_real
Diseño,UNIVERSIDAD FINIS TERRAE ,4256000,19152000,25323200
Diseño,UNIVERSIDAD CATÓLICA,4775000,23875000,28650000
Diseño,UNIVERSIDAD DEL DESARROLLO,5947649,29738245,36578041.35
Diseño,UNIVERSIDAD DEL DESARROLLO,3684384,18421920,22658961.6
Diseño,UNIVERSIDAD DIEGO PORTALES,4581000,22905000,29776500
Diseño,UNIVERSIDAD DE VALPARAISO,3147000,15735000,26749500
Diseño,IP DE CHILE,1152000,4608000,S/I
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,5000236,25001180,S/I
Diseño,UNIVERSIDAD DE TALCA,3044500,13700250,S/I
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,2460305,11071372.5,S/I
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,2990000,13455000,S/I
Diseño de Ambiente,IP DUOC UC,2100000,8400000,12600000
Diseño de Ambiente,IP DUOC UC,2100000,8400000,12600000
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",3480000,17400000,S/I
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,4100000,18450000,S/I
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,4525151,18100604,S/I
Diseño de Moda,IP INACAP,2196000,8784000,13066200
Diseño de Moda,IP INACAP,1812000,7248000,10781400
Diseño de Moda,IP INACAP,1658000,6632000,9865100
Diseño de Vestuario,IP DUOC UC,2200000,8800000,12980000
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,1800000,6300000,S/I
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,4525151,18100604,S/I
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,749000,1872500,S/I
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,2921858,14609290,S/I
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,3990000,17955000,23142000
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,4525151,20363179.5,27150906
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,3755876,15023504,22535256
Diseño Gráfico,IP DUOC UC,2280000,9120000,13908000
Diseño Gráfico,IP DUOC UC,2130000,8520000,12993000
Diseño Gráfico,IP DUOC UC,2130000,8520000,12993000
Diseño Gráfico,IP DUOC UC,1940000,7760000,11834000
Diseño Gráfico,IP DUOC UC,1880000,7520000,11468000
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,2574000,12870000,17631900
Diseño Gráfico,UNIVERSIDAD DE CHILE,3698700,18493500,28295055
Diseño Gráfico,IP AIEP,1730000,4325000,S/I
Diseño Gráfico,IP AIEP,1730000,4325000,S/I
Diseño Gráfico,IP AIEP,1700000,4250000,S/I
Diseño Gráfico,IP AIEP,1440000,3600000,S/I
Diseño Gráfico,IP AIEP,1420000,3550000,S/I
Diseño Gráfico,IP SANTO TOMAS,1821000,7284000,S/I
Diseño Gráfico,IP SANTO TOMAS,1718100,6872400,S/I
Diseño Gráfico,IP SANTO TOMAS,1718100,6872400,S/I
Diseño Gráfico,IP SANTO TOMAS,1685400,6741600,S/I
Diseño Gráfico,IP SANTO TOMAS,1610200,6440800,S/I
Diseño Gráfico,IP SANTO TOMAS,1552900,6211600,S/I
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,4061000,18274500,S/I
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,3108000,15540000,S/I
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,2940250,11761000,S/I
Diseño Gráfico Computacional,CFT ICEL,919000,2297500,S/I
Diseño Gráfico Computacional,CFT ICEL,919000,2297500,S/I
Diseño Gráfico Profesional,IP AIEP,1600000,6400000,8160000
Diseño Gráfico Profesional,IP AIEP,1450000,5800000,7395000
Diseño Gráfico Profesional,IP AIEP,1450000,5800000,7395000
Diseño Gráfico Profesional,IP AIEP,1400000,5600000,7140000
Diseño Gráfico Profesional,IP AIEP,1390000,5560000,7089000
Diseño Gráfico Profesional,IP INACAP,2090000,8360000,12331000
Diseño Gráfico Profesional,IP INACAP,1942000,7768000,11457800
Diseño Gráfico Profesional,IP INACAP,1890000,7560000,11151000
Diseño Gráfico Profesional,IP INACAP,1876000,7504000,11068400
Diseño Gráfico Profesional,IP INACAP,1876000,7504000,11068400
Diseño Gráfico Profesional,IP INACAP,1812000,7248000,10690800
Diseño Gráfico Profesional,IP INACAP,1812000,7248000,10690800
Diseño Gráfico Profesional,IP INACAP,1620000,6480000,9558000
Diseño Gráfico Profesional,IP INACAP,1602000,6408000,9451800
Diseño Gráfico Profesional,IP INACAP,1556000,6224000,9180400
Diseño Gráfico Profesional,IP INACAP,1582000,6328000,9333800
Diseño Gráfico Publicitario,IP LOS LEONES,1220000,4880000,6100000
Diseño Industrial,IP DUOC UC,2120000,8480000,13674000
Diseño Industrial,IP DUOC UC,2120000,8480000,13674000
Diseño Industrial,IP DUOC UC,1930000,7720000,12448500
Diseño Industrial,UNIVERSIDAD DE CHILE,3698700,18493500,28295055
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,3000547,15002735,23854348.65
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,4061000,18274500,S/I
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,2490216,12451080,S/I
Diseño Mención Industrial/Gráfico/Ambientes,UNIVERSIDAD MAYOR,4371000,21855000,S/I
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,2477000,9908000,S/I
Diseño Teatral,UNIVERSIDAD DE CHILE,2794000,13970000,S/I
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,4538000,20421000,23370700
Diseño Web & Mobile,CFT INACAP,1626000,3252000,S/I
Diseño y Producción Gráfica,CFT INACAP,2090000,4180000,S/I
Diseño y Producción Gráfica,CFT INACAP,1942000,3884000,S/I
Diseño y Producción Gráfica,CFT INACAP,1890000,3780000,S/I
Diseño y Producción Gráfica,CFT INACAP,1876000,3752000,S/I
Diseño y Producción Gráfica,CFT INACAP,1876000,3752000,S/I
Diseño y Producción Gráfica,CFT INACAP,1876000,3752000,S/I
Diseño y Producción Grafica,CFT INACAP,1812000,3624000,S/I
Diseño y Producción Gráfica,CFT INACAP,1812000,3624000,S/I
Diseño y Producción Gráfica,CFT INACAP,1620000,3240000,S/I
Diseño y Producción Gráfica,CFT INACAP,1582000,3164000,S/I
Diseño y Producción Gráfica,CFT INACAP,1556000,3112000,S/I
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,1612500,4031250,S/I
